Price,Distance
12.15,100000
6.15,110000
1.82,220000
30.77,200000
6.15,190000
6.62,180000
10,104000
6.74,10000
9.23,40000
7.69,120000
3.35,240000
1.31,150000
9.2,130000
10.92,110000
12.15,20000
1.54,10000
8.12,97000
1.69,140000
33.85,80000
1.97,200000
4.92,190000
11.54,80000
7.2,96000
6.62,130000
12.58,10000
4.92,120000
7.69,110000
7.08,50000
2.89,170000
7.97,90000
7.38,85000
3.85,120000
5.05,75000
2.31,180000
18.46,10000
7.08,90000
2.92,150000
6.15,60000
6.46,120000
6.62,100000
1.54,100000
1.38,10000
5.05,60000
6.15,70000
3.08,200000
3.69,24000
2.09,120000
8.15,49000
6.15,110000
10,60000
13.08,100000
20,59000
7.05,10000
1.54,220000
22.46,28000
5.38,90000
19.35,99000
14.31,91000
13.08,30000
12.71,130000
4.92,220000
9.23,180000
8.46,91000
6.92,160000
34.62,10000
8.62,60000
7.08,42000
5.69,170000
2,10000
1.31,200000
4.92,130000
23.08,20000
11.54,80000
4.62,120000
3.85,20000
8,79000
1.38,100000
5.08,160000
5.77,110000
14.89,23000
1.54,180000
9.08,46000
6.92,100000
5.05,220000
5.85,150000
11.69,120000
2.08,200000
35.23,59000
5.85,120000
6.92,120000
4.62,10000
16.92,130000
8,90000
5.85,200000
8.62,100000
0.85,100000
4.62,100000
1.85,100000
3.54,220000
10,100000
15.38,10000
4.62,110000
5.08,100000
7.23,130000
12,43000
4.92,75000
1.85,200000
4.12,100000
1.85,200000
4.46,140000
3.08,200000
6.92,120000
1.97,210000
2.31,160000
3.23,140000
5.23,120000
7.51,150000
6.15,32000
2.15,210000
1.31,10000
5.08,80000
5.38,170000
3.85,10000
9.54,50000
9.23,100000
2.77,80000
7.23,90000
4,60000
8,80000
4.77,170000
4.92,10000
4.12,68000
3.68,82000
6.62,140000
4.89,160000
14.77,110000
3.08,10000
7.38,100000
3.08,170000
16.92,28000
5.17,80000
6,160000
1.38,130000
8.62,140000
2,20000
1.51,180000
8.92,10000
1.54,200000
7.38,160000
6.92,110000
7.54,140000
4.15,180000
7.54,64000
6.31,210000
3.08,200000
4.62,110000
10.77,55000
2.92,80000
7.08,85000
5.85,110000
4.62,90000
28.15,50000
15.37,50000
6,88000
1.69,130000
5.08,150000
8.12,70000
3.08,200000
1.69,100000
6.62,136000
1.23,10000
12.31,100000
3.54,100000
1.54,10000
2.46,120000
2.15,10000
3.08,20000
21.85,110000
2.46,200000
6.92,150000
3.82,100000
17.69,21000
4.62,94000
20.77,17000
8.31,50000
1.85,200000
5.69,200000
3.31,80000
23.38,45000
6.92,88000
7.08,140000
6.58,110000
12.31,80000
5.38,110000
1.23,160000
7.08,45000
6.12,70000
4.43,70000
5.54,100000
9.23,70000
2.28,140000
3.23,130000
1.85,200000
4.77,180000
9.54,40000
5.38,110000
6.62,90000
10.62,110000
7.69,150000
7.66,160000
2.15,200000
7.69,100000
7.69,86000
13.54,58000
4.15,150000
12,20000
3.66,180000
9.23,18000
3.54,170000
5.38,50000
5.54,80000
6.46,70000
4.46,160000
29.23,90000
8.74,170000
13.54,220000
3.66,100000
5.85,150000
5.69,140000
6.15,160000
4.92,180000
2.43,200000
4.31,140000
7.38,97000
4.92,180000
4.92,93000
11.69,26000
5.97,80000
3.46,180000
6.92,140000
7.69,150000
1.23,10000
7.69,50000
7.38,73000
2.77,100000
18.46,44000
1.31,190000
1.23,120000
3.23,200000
8.31,90000
1.51,170000
12.15,31000
6.12,80000
1.54,200000
3.97,120000
4.74,200000
6.15,120000
13.54,20000
10.58,39000
5.54,200000
2.31,150000
11.38,100000
8.92,80000
13.08,50000
7.69,160000
2,210000
14.28,65000
15.38,20000
2.77,200000
4.77,72000
11.54,63000
1.85,180000
9.82,66000
3.38,200000
7.38,120000
4.31,80000
1.23,50000
7.08,100000
2.62,200000
13.08,110000
11.82,64000
6.92,200000
6.62,140000
7.54,96000
1.82,80000
0.77,100000
30.77,35000
2.62,10000
1.23,230000
18.46,108000
7.08,74000
13.85,20000
6.92,110000
6.62,60000
12.23,66000
5.54,100000
10.15,90000
2.77,10000
10.46,10000
2.58,200000
7.38,80000
2.08,10000
5.92,80000
13.54,57000
9.23,30000
21.54,40000
3.23,140000
15.85,49000
9.54,60000
9.82,80000
13.08,50000
5.69,190000
3.85,140000
